Serial Number,Title,Page Link,PDF Link,Download Status
58,Teenage Mutant Ninja TurtlesMutant Mayhem,https://www.scriptslug.com/script/teenage-mutant-ninja-turtles-mutant-mayhem-2023,https://assets.scriptslug.com/live/pdf/scripts/teenage-mutant-ninja-turtles-mutant-mayhem-2023.pdf?v=1729115004,True
59,Wonka,https://www.scriptslug.com/script/wonka-2023,https://assets.scriptslug.com/live/pdf/scripts/wonka-2023.pdf?v=1729115063,True
60,Mean Streets,https://www.scriptslug.com/script/mean-streets-1973,https://assets.scriptslug.com/live/pdf/scripts/mean-streets-1973.pdf?v=1729114951,True
61,FargoThe Law of Vacant Places,https://www.scriptslug.com/script/fargo-301-the-law-of-vacant-places-2017,https://assets.scriptslug.com/live/pdf/scripts/fargo-301-the-law-of-vacant-places-2017.pdf?v=1729114906,True
62,FargoWelcome to the Alternate Economy,https://www.scriptslug.com/script/fargo-401-welcome-to-the-alternate-economy-2020,https://assets.scriptslug.com/live/pdf/scripts/fargo-401-welcome-to-the-alternate-economy-2020_2024-01-20-184835_ikxd.pdf?v=1729114907,True
63,Our Flag Means DeathPilot,https://www.scriptslug.com/script/our-flag-means-death-101-pilot-2022,https://assets.scriptslug.com/live/pdf/scripts/our-flag-means-death-101-pilot-2022.pdf?v=1729114966,True
64,YellowstoneHorses in Heaven,https://www.scriptslug.com/script/yellowstone-504-horses-in-heaven-2022,https://assets.scriptslug.com/live/pdf/scripts/yellowstone-504-horses-in-heaven-2022.pdf?v=1729115065,True
65,Harry Potter and the Order of the Phoenix,https://www.scriptslug.com/script/harry-potter-and-the-order-of-the-phoenix-2007,https://assets.scriptslug.com/live/pdf/scripts/harry-potter-and-the-order-of-the-phoenix-2007.pdf?v=1729114922,True
66,Priscilla,https://www.scriptslug.com/script/priscilla-2023,https://assets.scriptslug.com/live/pdf/scripts/priscilla-2023.pdf?v=1729114974,True
67,WednesdayWednesday's Child Is Full of Woe,https://www.scriptslug.com/script/wednesday-101-wednesdays-child-is-full-of-woe-2022,https://assets.scriptslug.com/live/pdf/scripts/wednesday-101-wednesdays-child-is-full-of-woes-2022.pdf?v=1729115059,True
68,All of Us Strangers,https://www.scriptslug.com/script/all-of-us-strangers-2023,https://assets.scriptslug.com/live/pdf/scripts/all-of-us-strangers-2023.pdf?v=1729114857,True
69,The Hunger GamesCatching Fire,https://www.scriptslug.com/script/the-hunger-games-catching-fire-2013,https://assets.scriptslug.com/live/pdf/scripts/the-hunger-games-catching-fire-2013.pdf?v=1729115023,True
70,Anatomy of a Fall,https://www.scriptslug.com/script/anatomy-of-a-fall-2023,https://assets.scriptslug.com/live/pdf/scripts/anatomy-of-a-fall-2023.pdf?v=1729114860,True
71,May December,https://www.scriptslug.com/script/may-december-2023,https://assets.scriptslug.com/live/pdf/scripts/may-december-2023.pdf?v=1729114950,True
72,Maestro,https://www.scriptslug.com/script/maestro-2023,https://assets.scriptslug.com/live/pdf/scripts/maestro-2023.pdf?v=1729114947,True
73,American Fiction,https://www.scriptslug.com/script/american-fiction-2023,https://assets.scriptslug.com/live/pdf/scripts/american-fiction-2023.pdf?v=1729114858,True
74,BridgertonCapital R Rake,https://www.scriptslug.com/script/bridgerton-201-capital-r-rake-2022,https://assets.scriptslug.com/live/pdf/scripts/bridgerton-201-capital-r-rake-2022.pdf?v=1729114879,True
